"group","SID","item","survey_name","value"
"experimental","s177","msg_sharing_broad_3","msg_sharing_broad","45"
"experimental","s179","msg_sharing_broad_3","msg_sharing_broad","63"
"experimental","s181","msg_sharing_broad_3","msg_sharing_broad","32"
"experimental","s183","msg_sharing_broad_3","msg_sharing_broad","52"
"experimental","s184","msg_sharing_broad_3","msg_sharing_broad","93"
"experimental","s186","msg_sharing_broad_3","msg_sharing_broad","11"
"experimental","s187","msg_sharing_broad_3","msg_sharing_broad","79"
"experimental","s189","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s192","msg_sharing_broad_3","msg_sharing_broad","19"
"experimental","s193","msg_sharing_broad_3","msg_sharing_broad","91"
"experimental","s196","msg_sharing_broad_3","msg_sharing_broad","70"
"experimental","s199","msg_sharing_broad_3","msg_sharing_broad","78"
"experimental","s201","msg_sharing_broad_3","msg_sharing_broad","91"
"experimental","s202","msg_sharing_broad_3","msg_sharing_broad","5"
"experimental","s205","msg_sharing_broad_3","msg_sharing_broad","62"
"experimental","s207","msg_sharing_broad_3","msg_sharing_broad","58"
"experimental","s209","msg_sharing_broad_3","msg_sharing_broad","29"
"experimental","s211","msg_sharing_broad_3","msg_sharing_broad","80"
"experimental","s212","msg_sharing_broad_3","msg_sharing_broad","10"
"experimental","s214","msg_sharing_broad_3","msg_sharing_broad","1"
"experimental","s216","msg_sharing_broad_3","msg_sharing_broad","68"
"experimental","s219","msg_sharing_broad_3","msg_sharing_broad","46"
"experimental","s221","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s223","msg_sharing_broad_3","msg_sharing_broad","63"
"experimental","s225","msg_sharing_broad_3","msg_sharing_broad","2"
"experimental","s227","msg_sharing_broad_3","msg_sharing_broad","56"
"experimental","s230","msg_sharing_broad_3","msg_sharing_broad","63"
"experimental","s232","msg_sharing_broad_3","msg_sharing_broad","90"
"experimental","s233","msg_sharing_broad_3","msg_sharing_broad","79"
"experimental","s234","msg_sharing_broad_3","msg_sharing_broad","71"
"experimental","s237","msg_sharing_broad_3","msg_sharing_broad","28"
"experimental","s238","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s240","msg_sharing_broad_3","msg_sharing_broad","43"
"experimental","s243","msg_sharing_broad_3","msg_sharing_broad","2"
"experimental","s245","msg_sharing_broad_3","msg_sharing_broad","75"
"experimental","s247","msg_sharing_broad_3","msg_sharing_broad","37"
"experimental","s248","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s001","msg_sharing_narrow_3","msg_sharing_narrow","71"
