"cond","SID","survey_name","item","value"
"other","s547","sharing_broad","1_sharing_broad","42"
"other","s548","sharing_broad","1_sharing_broad","77"
"other","s551","sharing_broad","1_sharing_broad","70"
"other","s552","sharing_broad","1_sharing_broad","24"
"other","s553","sharing_broad","1_sharing_broad","13"
"other","s554","sharing_broad","1_sharing_broad","100"
"self","s555","sharing_broad","1_sharing_broad","89"
"other","s558","sharing_broad","1_sharing_broad","0"
"other","s559","sharing_broad","1_sharing_broad","57"
"self","s561","sharing_broad","1_sharing_broad","13"
"other","s563","sharing_broad","1_sharing_broad","65"
"other","s567","sharing_broad","1_sharing_broad","90"
"self","s568","sharing_broad","1_sharing_broad","84"
"other","s570","sharing_broad","1_sharing_broad","0"
"other","s571","sharing_broad","1_sharing_broad","4"
"self","s572","sharing_broad","1_sharing_broad","10"
"other","s574","sharing_broad","1_sharing_broad","1"
"other","s575","sharing_broad","1_sharing_broad","100"
"self","s576","sharing_broad","1_sharing_broad","11"
"self","s577","sharing_broad","1_sharing_broad","42"
"other","s578","sharing_broad","1_sharing_broad","10"
"other","s581","sharing_broad","1_sharing_broad","66"
"other","s582","sharing_broad","1_sharing_broad","62"
"self","s583","sharing_broad","1_sharing_broad","78"
"self","s584","sharing_broad","1_sharing_broad","28"
"self","s587","sharing_broad","1_sharing_broad","0"
"self","s588","sharing_broad","1_sharing_broad","32"
"self","s589","sharing_broad","1_sharing_broad","78"
"other","s592","sharing_broad","1_sharing_broad","7"
"other","s593","sharing_broad","1_sharing_broad","100"
"other","s594","sharing_broad","1_sharing_broad","62"
"self","s595","sharing_broad","1_sharing_broad","95"
"other","s598","sharing_broad","1_sharing_broad","48"
"other","s599","sharing_broad","1_sharing_broad","60"
"self","s600","sharing_broad","1_sharing_broad","65"
"other","s602","sharing_broad","1_sharing_broad","74"
"other","s606","sharing_broad","1_sharing_broad","75"
"self","s608","sharing_broad","1_sharing_broad","0"
"other","s610","sharing_broad","1_sharing_broad","59"
"other","s613","sharing_broad","1_sharing_broad","0"
"self","s615","sharing_broad","1_sharing_broad","100"
"self","s616","sharing_broad","1_sharing_broad","75"
"other","s618","sharing_broad","1_sharing_broad","9"
"self","s619","sharing_broad","1_sharing_broad","84"
"self","s620","sharing_broad","1_sharing_broad","61"
"self","s621","sharing_broad","1_sharing_broad","0"
"self","s622","sharing_broad","1_sharing_broad","82"
"other","s623","sharing_broad","1_sharing_broad","85"
"self","s624","sharing_broad","1_sharing_broad","88"
"other","s626","sharing_broad","1_sharing_broad","72"
"other","s627","sharing_broad","1_sharing_broad","0"
"self","s628","sharing_broad","1_sharing_broad","100"
"self","s629","sharing_broad","1_sharing_broad","100"
"self","s630","sharing_broad","1_sharing_broad","100"
"other","s631","sharing_broad","1_sharing_broad","8"
"other","s634","sharing_broad","1_sharing_broad","0"
"self","s635","sharing_broad","1_sharing_broad","60"
"self","s636","sharing_broad","1_sharing_broad","84"
"self","s638","sharing_broad","1_sharing_broad","50"
"other","s639","sharing_broad","1_sharing_broad","53"
"self","s640","sharing_broad","1_sharing_broad","87"
"self","s001","sharing_narrow","1_sharing_narrow","75"
"self","s002","sharing_narrow","1_sharing_narrow","41"
