"survey_name","group","SID","scale_name","item","value"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_social","1","75"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_share","1","2"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_self","2","3"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_social","2","89"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_share","2","3"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_self","3","2"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_social","3","52"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_share","3","2"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_self","4","3"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_social","4","55"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_share","4","3"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_self","5","2"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_social","5","81"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_share","5","2"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_self","1","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_social","1","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_share","1","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_self","2","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_social","2","52"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_share","2","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_self","3","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_social","3","53"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_share","3","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_self","4","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_social","4","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_share","4","1"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_self","5","50"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_rel_social","5","50"
"GOTV 100 million message testing SHORT","dynamic","s025","msg_share","5","1"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_self","1","39"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_social","1","7"
"GOTV 100 million message testing SHORT","control","s026","msg_share","1","57"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_self","2","54"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_social","2","31"
"GOTV 100 million message testing SHORT","control","s026","msg_share","2","73"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_self","3","83"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_social","3","38"
"GOTV 100 million message testing SHORT","control","s026","msg_share","3","59"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_self","4","79"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_social","4","35"
"GOTV 100 million message testing SHORT","control","s026","msg_share","4","58"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_self","5","8"
"GOTV 100 million message testing SHORT","control","s026","msg_rel_social","5","15"
"GOTV 100 million message testing SHORT","control","s026","msg_share","5","75"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_self","1","88"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_social","1","92"
"GOTV 100 million message testing SHORT","control","s027","msg_share","1","85"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_self","2","91"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_social","2","98"
"GOTV 100 million message testing SHORT","control","s027","msg_share","2","100"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_self","3","93"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_social","3","95"
"GOTV 100 million message testing SHORT","control","s027","msg_share","3","94"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_self","4","100"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_social","4","99"
"GOTV 100 million message testing SHORT","control","s027","msg_share","4","90"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_self","5","95"
"GOTV 100 million message testing SHORT","control","s027","msg_rel_social","5","93"
"GOTV 100 million message testing SHORT","control","s027","msg_share","5","91"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_self","1","7"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_social","1","43"
"GOTV 100 million message testing SHORT","static","s028","msg_share","1","25"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_self","2","46"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_social","2","65"
"GOTV 100 million message testing SHORT","static","s028","msg_share","2","65"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_self","3","16"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_social","3","62"
"GOTV 100 million message testing SHORT","static","s028","msg_share","3","17"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_self","4","39"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_social","4","59"
"GOTV 100 million message testing SHORT","static","s028","msg_share","4","80"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_self","5","75"
"GOTV 100 million message testing SHORT","static","s028","msg_rel_social","5","85"
"GOTV 100 million message testing SHORT","static","s028","msg_share","5","92"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_self","1","29"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_social","1","29"
"GOTV 100 million message testing SHORT","static","s029","msg_share","1","52"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_self","2","61"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_social","2","62"
"GOTV 100 million message testing SHORT","static","s029","msg_share","2","52"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_self","3","50"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_social","3","50"
"GOTV 100 million message testing SHORT","static","s029","msg_share","3","51"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_self","4","50"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_social","4","50"
"GOTV 100 million message testing SHORT","static","s029","msg_share","4","50"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_self","5","61"
"GOTV 100 million message testing SHORT","static","s029","msg_rel_social","5","61"
"GOTV 100 million message testing SHORT","static","s029","msg_share","5","53"
"GOTV 100 million message testing SHORT","static","s030","msg_rel_self","1","94"
"GOTV 100 million message testing SHORT","static","s030","msg_rel_social","1","94"
"GOTV 100 million message testing SHORT","static","s030","msg_share","1","83"
"GOTV 100 million message testing SHORT","static","s030","msg_rel_self","2","100"
"GOTV 100 million message testing SHORT","static","s030","msg_rel_social","2","91"
"GOTV 100 million message testing SHORT","static","s030","msg_share","2","5"
